Entity,Code,Year,Life expectancy
French Guiana,GUF,2020,77.5067
French Polynesia,PYF,2020,82.4588
Gabon,GAB,2020,67.0725
Gambia,GMB,2020,64.4183
Georgia,GEO,2020,73.5094
Germany,DEU,2020,81.0036
Ghana,GHA,2020,64.3089
Gibraltar,GIB,2020,83.0698
Greece,GRC,2020,81.5361
Greenland,GRL,2020,70.1558
Grenada,GRD,2020,75.019
Guadeloupe,GLP,2020,80.6481
Guam,GUM,2020,75.5289
Guatemala,GTM,2020,69.9707
Guernsey,GGY,2020,83.3459
Guinea,GIN,2020,59.3499
Guinea-Bissau,GNB,2020,61.343
Guyana,GUY,2020,67.751
Haiti,HTI,2020,63.773
High-and-upper-middle-income countries,,2020,76.7982
High-income countries,OWID_HIC,2020,80.1788
Honduras,HND,2020,70.864
Hong Kong,HKG,2020,84.7073
Hungary,HUN,2020,75.7302
Iceland,ISL,2020,82.7113
India,IND,2020,70.1563
Indonesia,IDN,2020,68.8173
Iran,IRN,2020,74.1406
Iraq,IRQ,2020,69.6506
Ireland,IRL,2020,82.3897
Isle of Man,IMN,2020,80.5909
Israel,ISR,2020,82.6997
Italy,ITA,2020,82.1814
Jamaica,JAM,2020,71.4519
Japan,JPN,2020,84.6703
Jersey,JEY,2020,79.4471
Jordan,JOR,2020,75.5831
Kazakhstan,KAZ,2020,71.1952
Kenya,KEN,2020,61.5958
Kiribati,KIR,2020,65.2046
Kosovo,OWID_KOS,2020,74.2118
Kuwait,KWT,2020,78.2483
Kyrgyzstan,KGZ,2020,69.136
Land-locked Developing Countries (LLDC),,2020,64.5213
Laos,LAO,2020,68.3386
Latin America and the Caribbean,,2020,73.2712
Latvia,LVA,2020,75.4781
Least developed countries,,2020,64.5925
Lebanon,LBN,2020,76.2988
Lesotho,LSO,2020,55.1325
Less developed regions,,2020,70.5423
"Less developed regions, excluding China",,2020,68.4711
"Less developed regions, excluding least developed countries",,2020,71.817
Liberia,LBR,2020,61.2672
Libya,LBY,2020,72.3882
Liechtenstein,LIE,2020,82.037
Lithuania,LTU,2020,75.105
Low-and-Lower-middle-income countries,,2020,66.9999
Low-and-middle-income countries,,2020,70.2154
Low-income countries,OWID_LIC,2020,63.267
Lower-middle-income countries,OWID_LMC,2020,67.9056
Luxembourg,LUX,2020,81.4108
Macao,MAC,2020,84.61
Madagascar,MDG,2020,62.706
Malawi,MWI,2020,65.2159
Malaysia,MYS,2020,76.0566
Maldives,MDV,2020,78.713
Mali,MLI,2020,58.8577
Malta,MLT,2020,82.3358
Marshall Islands,MHL,2020,65.3873
Martinique,MTQ,2020,80.2672
Mauritania,MRT,2020,66.7943
Mauritius,MUS,2020,74.6572
Mayotte,MYT,2020,74.2126
Mexico,MEX,2020,70.4492
Micronesia (country),FSM,2020,65.8776
Middle-income countries,,2020,71.1464
Moldova,MDA,2020,69.9144
Monaco,MCO,2020,86.0893
Mongolia,MNG,2020,70.0291
Montenegro,MNE,2020,75.8503
Montserrat,MSR,2020,75.5677
More developed regions,,2020,78.3883
Morocco,MAR,2020,73.1327
Mozambique,MOZ,2020,61.3904
Myanmar,MMR,2020,66.6121
Namibia,NAM,2020,64.0712
Nauru,NRU,2020,61.5271
Nepal,NPL,2020,69.1065
Netherlands,NLD,2020,81.3931
New Caledonia,NCL,2020,77.0494
New Zealand,NZL,2020,82.6628
Nicaragua,NIC,2020,70.7662
Niger,NER,2020,59.8903
Nigeria,NGA,2020,53.0724
Niue,NIU,2020,69.4704
No income group available,,2020,72.362
North Korea,PRK,2020,72.7826
North Macedonia,MKD,2020,74.4687
Northern America,,2020,77.462
Northern Mariana Islands,MNP,2020,78.03
Norway,NOR,2020,83.1953
Oceania,OWID_OCE,2020,78.8495
Oman,OMN,2020,77.7634
Pakistan,PAK,2020,65.7015
Palau,PLW,2020,68.6889
Palestine,PSE,2020,74.9978
Panama,PAN,2020,76.3302
Papua New Guinea,PNG,2020,65.075
Paraguay,PRY,2020,72.7197
Peru,PER,2020,73.8315
Philippines,PHL,2020,70.0974
Poland,POL,2020,76.5951
Portugal,PRT,2020,81.3664
Puerto Rico,PRI,2020,80.009
Qatar,QAT,2020,80.4095
Reunion,REU,2020,82.5765
Romania,ROU,2020,74.0464
Russia,RUS,2020,71.1705
Rwanda,RWA,2020,66.9534
Saint Barthelemy,BLM,2020,84.0707
Saint Helena,SHN,2020,76.8925
Saint Kitts and Nevis,KNA,2020,71.1814
Saint Lucia,LCA,2020,72.3077
Saint Martin (French part),MAF,2020,80.0848
Saint Pierre and Miquelon,SPM,2020,76.6183
Saint Vincent and the Grenadines,VCT,2020,69.6051
Samoa,WSM,2020,70.7265
San Marino,SMR,2020,82.6495
Sao Tome and Principe,STP,2020,67.979
Saudi Arabia,SAU,2020,77.5962
Senegal,SEN,2020,67.4961
Serbia,SRB,2020,74.5065
Seychelles,SYC,2020,74.0912
Sierra Leone,SLE,2020,59.6935
Singapore,SGP,2020,83.6607
Sint Maarten (Dutch part),SXM,2020,75.0023
Slovakia,SVK,2020,76.8643
Slovenia,SVN,2020,80.3641
Small Island Developing States (SIDS),,2020,71.7761
Solomon Islands,SLB,2020,69.2577
Somalia,SOM,2020,57.0948
South Africa,ZAF,2020,65.1502
South Korea,KOR,2020,83.6752
South Sudan,SSD,2020,57.6479
Spain,ESP,2020,82.2413
Sri Lanka,LKA,2020,76.9281
Sudan,SDN,2020,65.1237
Suriname,SUR,2020,72.3208
Sweden,SWE,2020,82.4271
Switzerland,CHE,2020,83.0626
Syria,SYR,2020,71.944
Taiwan,TWN,2020,81.1067
Tajikistan,TJK,2020,68.6054
Tanzania,TZA,2020,66.7712
Thailand,THA,2020,77.3314
Togo,TGO,2020,61.1225
Tokelau,TKL,2020,76.6217
Tonga,TON,2020,72.3787
Trinidad and Tobago,TTO,2020,72.645
Tunisia,TUN,2020,75.0035
Turkey,TUR,2020,76.5255
Turkmenistan,TKM,2020,68.8457
Turks and Caicos Islands,TCA,2020,77.4989
Tuvalu,TUV,2020,66.3567
Uganda,UGA,2020,66.4098
Ukraine,UKR,2020,73.2833
United Arab Emirates,ARE,2020,81.9363
United Kingdom,GBR,2020,80.3854
United States,USA,2020,77.0115
United States Virgin Islands,VIR,2020,74.7137
Upper-middle-income countries,OWID_UMC,2020,75.0315
Uruguay,URY,2020,78.3811
Uzbekistan,UZB,2020,71.4613
Vanuatu,VUT,2020,70.3845
Vatican,VAT,2020,82.986
Venezuela,VEN,2020,72.3693
Vietnam,VNM,2020,75.3832
Wallis and Futuna,WLF,2020,78.1637
Western Sahara,ESH,2020,70.6126
World,OWID_WRL,2020,71.9166
Yemen,YEM,2020,66.4354
Zambia,ZMB,2020,63.3607
Zimbabwe,ZWE,2020,61.53
